 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.024E+00                                       1.539E+03   1.512E+01 
    2   5.326E+00                                       1.394E+03   7.257E+00 
    3   3.453E+01   1.193E+01   2.141E+00               4.163E+01   1.827E-01 
    4   5.821E+01   2.755E+01   3.710E+00   1.986E-01   1.255E+00   2.950E-03 
    5   5.675E+01   2.738E+01   3.707E+00   1.968E-01   5.587E+00   1.313E-02 
    6   5.725E+01   2.752E+01   3.713E+00               8.306E+01   3.141E-01 
    7   5.834E+01   2.767E+01   3.707E+00   1.958E-01   1.116E+01   2.635E-02 
    8   5.729E+01   2.751E+01   3.704E+00   1.950E-01   1.038E+01   2.408E-02 
    9   5.646E+01   2.736E+01   3.703E+00   1.942E-01   1.033E+01   2.391E-02 
   10   5.548E+01   2.720E+01   3.701E+00   1.937E-01   1.021E+01   2.360E-02 
   11   5.494E+01   2.708E+01   3.700E+00   1.931E-01   7.657E+00   1.765E-02 
   12   5.469E+01   2.701E+01   3.698E+00   1.928E-01   6.079E+00   1.400E-02 
   13   5.458E+01   2.693E+01   3.698E+00   1.916E-01   9.392E+00   2.179E-02 
   14   5.436E+01   2.683E+01   3.709E+00               6.747E+01   2.555E-01 
   15   5.442E+01   2.684E+01   3.698E+00   1.906E-01   9.416E+00   2.170E-02 
   16   5.421E+01   2.674E+01   3.693E+00   1.902E-01   1.008E+01   2.302E-02 
   17   5.415E+01   2.673E+01   3.695E+00   1.907E-01   6.609E+00   1.513E-02 
   18   5.410E+01   2.670E+01   3.692E+00   1.903E-01   1.008E+01   2.304E-02 
   19   5.405E+01   2.666E+01   3.689E+00   1.905E-01   9.983E+00   2.284E-02 
   20   5.404E+01   2.666E+01   3.689E+00   1.910E-01   6.887E+00   1.582E-02 
   21   5.403E+01   2.665E+01   3.687E+00   1.914E-01   4.303E+00   9.886E-03 
   22   5.404E+01   2.666E+01   3.688E+00   1.908E-01   5.265E+00   1.207E-02 
   23   5.405E+01   2.668E+01   3.689E+00   1.903E-01   9.465E+00   2.164E-02 
   24   5.414E+01   2.671E+01   3.690E+00   1.903E-01   1.008E+01   2.305E-02 
   25   5.446E+01   2.680E+01   3.693E+00   1.906E-01   1.010E+01   2.310E-02 
   26   5.480E+01   2.685E+01   3.692E+00   1.914E-01   1.015E+01   2.327E-02 
   27   5.512E+01   2.694E+01   3.694E+00   1.921E-01   1.020E+01   2.343E-02 
   28   5.545E+01   2.705E+01   3.694E+00   1.922E-01   1.020E+01   2.343E-02 
   29   5.587E+01   2.723E+01   3.695E+00   1.928E-01   1.009E+01   2.323E-02 
   30   5.626E+01   2.735E+01   3.697E+00   1.934E-01   9.457E+00   2.217E-02 
   31   5.704E+01   2.756E+01   3.700E+00   1.958E-01   5.049E+00   1.188E-02 
   32   5.725E+01   2.757E+01   3.701E+00   1.993E-01   6.641E-01   1.566E-03 
   33   5.706E+01   2.753E+01                           1.185E+03   1.694E+01 
   34   5.689E+01                                       1.008E+03   1.066E+01 
   35   5.576E+01   2.818E+01                           3.789E+02   5.326E+00 
   36   5.588E+01   2.759E+01                           9.241E+02   1.320E+01 
   37   5.675E+01   2.767E+01   3.698E+00               9.928E+01   3.763E-01 
   38   5.712E+01   2.771E+01   3.697E+00   1.979E-01   3.471E+00   8.309E-03 
   39   5.611E+01   2.722E+01   3.694E+00               9.442E+01   3.577E-01 
   40   5.575E+01   2.698E+01   3.690E+00   1.929E-01   5.896E+00   1.360E-02 
   41   5.574E+01   2.697E+01   3.689E+00   1.932E-01   4.364E+00   1.008E-02 
   42   5.525E+01   2.680E+01   3.688E+00   1.936E-01   2.249E+00   5.207E-03 
   43   5.419E+01   2.668E+01   3.688E+00   1.918E-01   5.853E+00   1.370E-02 
   44   5.369E+01                                       3.697E+03   2.518E+02 
   45   5.189E+01                                       1.000E+03   1.077E+01 
   46   5.545E+01   2.957E+01                           3.448E+02   4.745E+00 
   47   5.698E+01   2.925E+01                           2.559E+02   3.558E+00 
   48   5.477E+01                                       7.716E+02   8.451E+00 
   49   2.737E+01                                       6.208E+02   1.821E+01 
   50   1.098E+02                                       1.314E+03   1.947E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1988.62500000000     
