 interval        deposition(Bq/year)
          30    Nmsr
           1    Nboxprec
           2    reltp
          42           1    NumPlan   NumVert
           0.25  1.8548360E+09
           1  2.1198124E+09
           1  1.9664051E+09
           1  2.0361357E+09
           1  2.3847892E+09
           1  1.9245665E+09
           1  1.4364520E+09
           1  1.3388289E+09
           1  9.3439104E+08
           1  1.3388289E+09
           1  1.2551523E+09
           1  1.2253042E+09
           1  1.1961663E+09
           1  1.1677210E+09
           1  1.1399523E+09
           1  1.1128438E+09
           1  1.0863800E+09
           1  1.0605457E+09
           1  1.0353255E+09
           1  1.0107052E+09
           1  9.8667034E+08
           1  9.6320704E+08
           1  9.4030170E+08
           1  9.1794112E+08
           1  8.9611206E+08
           1  8.7480230E+08
           1  8.5399930E+08
           1  8.3369088E+08
           1  8.1386547E+08
           1  7.9451155E+08
