 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.711E-01                                       1.277E+03   1.413E+01 
    2   1.228E+00                                       6.613E+02   5.471E+00 
    3   2.011E+01   3.219E+00   1.715E+00               3.538E+01   1.093E-01 
    4   3.234E+01   2.890E+01   4.343E+00   4.190E-01   4.215E+00   5.732E-03 
    5   3.234E+01   2.887E+01   4.339E+00   4.170E-01   1.837E+01   2.490E-02 
    6   3.237E+01   2.905E+01   4.347E+00               1.338E+02   3.098E-01 
    7   3.232E+01   2.895E+01   4.341E+00   4.166E-01   3.538E+01   4.790E-02 
    8   3.223E+01   2.883E+01   4.338E+00   4.155E-01   3.533E+01   4.773E-02 
    9   3.211E+01   2.870E+01   4.336E+00   4.146E-01   3.525E+01   4.754E-02 
   10   3.210E+01   2.865E+01   4.334E+00   4.140E-01   3.492E+01   4.706E-02 
   11   3.239E+01   2.879E+01   4.333E+00   4.132E-01   2.619E+01   3.523E-02 
   12   3.263E+01   2.886E+01   4.331E+00   4.121E-01   2.079E+01   2.791E-02 
   13   3.277E+01   2.888E+01   4.329E+00   4.110E-01   3.079E+01   4.126E-02 
   14   3.299E+01   2.894E+01   4.334E+00               1.080E+02   2.506E-01 
   15   3.291E+01   2.888E+01   4.327E+00   4.099E-01   3.144E+01   4.206E-02 
   16   3.296E+01   2.884E+01   4.323E+00   4.094E-01   3.479E+01   4.650E-02 
   17   3.312E+01   2.893E+01   4.325E+00   4.099E-01   2.277E+01   3.047E-02 
   18   3.293E+01   2.878E+01   4.321E+00   4.094E-01   3.479E+01   4.650E-02 
   19   3.281E+01   2.868E+01   4.318E+00   4.098E-01   3.444E+01   4.607E-02 
   20   3.321E+01   2.893E+01   4.320E+00   4.104E-01   2.355E+01   3.154E-02 
   21   3.325E+01   2.894E+01   4.319E+00   4.112E-01   1.481E+01   1.986E-02 
   22   3.288E+01   2.872E+01   4.319E+00   4.100E-01   1.814E+01   2.428E-02 
   23   3.277E+01   2.866E+01   4.319E+00   4.094E-01   3.266E+01   4.364E-02 
   24   3.282E+01   2.871E+01   4.320E+00   4.095E-01   3.480E+01   4.653E-02 
   25   3.292E+01   2.877E+01   4.323E+00   4.099E-01   3.484E+01   4.662E-02 
   26   3.287E+01   2.877E+01   4.326E+00   4.107E-01   3.490E+01   4.675E-02 
   27   3.266E+01   2.871E+01   4.327E+00   4.113E-01   3.496E+01   4.688E-02 
   28   3.203E+01   2.841E+01   4.328E+00   4.120E-01   3.500E+01   4.699E-02 
   29   3.147E+01   2.816E+01   4.328E+00   4.130E-01   3.459E+01   4.651E-02 
   30   3.156E+01   2.831E+01   4.331E+00   4.136E-01   3.028E+01   4.077E-02 
   31   3.199E+01   2.872E+01   4.334E+00   4.155E-01   1.635E+01   2.209E-02 
   32   3.217E+01   2.893E+01   4.337E+00   4.191E-01   2.222E+00   3.023E-03 
   33   3.227E+01   2.905E+01                           2.427E+03   1.739E+01 
   34   3.051E+01                                       9.677E+02   8.023E+00 
   35   3.139E+01   2.901E+01                           7.526E+02   5.481E+00 
   36   3.178E+01   2.878E+01                           1.884E+03   1.360E+01 
   37   3.171E+01   2.857E+01   4.333E+00               1.541E+02   3.573E-01 
   38   3.196E+01   2.852E+01   4.331E+00   4.168E-01   1.064E+01   1.441E-02 
   39   3.227E+01   2.850E+01   4.328E+00               1.489E+02   3.451E-01 
   40   3.268E+01   2.861E+01   4.324E+00   4.120E-01   2.014E+01   2.704E-02 
   41   3.295E+01   2.871E+01   4.322E+00   4.121E-01   1.486E+01   1.994E-02 
   42   3.292E+01   2.866E+01   4.320E+00   4.120E-01   7.652E+00   1.028E-02 
   43   3.281E+01   2.867E+01   4.319E+00   4.105E-01   1.845E+01   2.471E-02 
   44   2.709E+01                                       3.478E+03   1.898E+02 
   45   2.838E+01                                       9.400E+02   8.014E+00 
   46   3.075E+01   2.895E+01                           6.634E+02   5.060E+00 
   47   3.134E+01   2.868E+01                           4.933E+02   3.657E+00 
   48   2.812E+01                                       7.710E+02   7.724E+00 
   49   9.721E+00                                       4.841E+02   1.633E+01 
   50   3.477E+01                                       1.132E+03   1.841E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1991.75000000000     
