**********************************************************************
* Non-zero exchange coefficients between PLANAR boxes of the regional
* model for every PLANAR layer.
**********************************************************************
1						k, Number of the LAYER
178          			Non_nuls  Quantity of non-zero coefficients
N of the initial PLANAR box 	N of the terminal PLANAR box   Exchange(km3/y)
           1           2   72000.00    
           2           1   72270.00    
           2           3   200.0000    
           3           2   735.0000    
           4           3   435.0000    
           4           5   7266.272    
           4           6   1270.791    
           4           7   1557.955    
           5           4   851.1265    
           5           8   2549.060    
           5           9   3799.923    
           5          10   3810.312    
           5          11   449.3507    
           6           4   4858.655    
           6           7   3670.192    
           6          33   4721.700    
           7           4   4452.737    
           7           6   3611.958    
           7           8   2615.345    
           7          32   2283.269    
           8           5   1995.767    
           8           7   3783.220    
           8           9   3161.613    
           8          31   1856.372    
           9           5   1178.798    
           9           8   3107.393    
           9          10   4678.167    
           9          30   2002.205    
          10           5   909.5078    
          10           9   2027.406    
          10          11   7786.728    
          10          29   1498.921    
          11           5   109.4295    
          11          10   1258.025    
          11          12   7142.748    
          11          28   2500.890    
          12          11   1074.889    
          12          13   7007.615    
          12          27   2170.944    
          13          12   1032.102    
          13          14   2378.319    
          13          15   4987.897    
          13          26   2517.325    
          14          13   1080.790    
          14          15   1342.462    
          14          17   3709.242    
          15          13   1457.729    
          15          14   2777.893    
          15          16   4172.370    
          15          25   1893.998    
          16          15   2001.270    
          16          17   2003.800    
          16          18   3594.843    
          16          24   2849.583    
          17          14   976.2822    
          17          16   2313.760    
          17          18   2418.114    
          17          20   4780.382    
          18          16   2347.012    
          18          17   2359.270    
          18          19   3064.195    
          18          23   3154.450    
          19          18   3432.853    
          19          20   2647.538    
          19          21   2903.438    
          19          22   2952.250    
          20          17   2416.226    
          20          19   2803.433    
          20          21   6117.982    
          21          19   4312.635    
          21          20   3909.720    
          21          22   1519.067    
          22          19   1755.819    
          22          21   720.0018    
          22          23   4292.290    
          22          43   124.7488    
          23          18   1479.115    
          23          22   2373.365    
          23          24   4125.078    
          23          43   3348.020    
          24          16   1616.353    
          24          23   2497.619    
          24          25   3470.282    
          24          43   3213.958    
          25          15   1970.360    
          25          24   2302.727    
          25          26   3264.567    
          25          42   2407.189    
          26          13   1369.509    
          26          25   2524.800    
          26          27   4252.652    
          26          41   1845.204    
          27          12   2078.599    
          27          26   1735.329    
          27          28   4570.400    
          27          40   2295.520    
          28          11   1700.125    
          28          27   2233.757    
          28          29   5964.772    
          28          39   1153.417    
          29          10   2476.057    
          29          28   1321.149    
          29          30   6511.435    
          29          38   1635.500    
          30           9   1977.620    
          30          29   1330.829    
          30          31   5685.740    
          30          37   3042.350    
          31           8   2525.175    
          31          30   1517.584    
          31          32   6095.130    
          31          36   3398.475    
          32           7   3951.942    
          32          31   1120.358    
          32          33   8367.883    
          32          35   884.1750    
          33           6   8367.798    
          33          32   4816.018    
          33          34   303.7513    
          34          33   397.9825    
          34          35   347.4025    
          35          32   1129.943    
          35          34   441.6338    
          35          36   886.3980    
          35          44   350.2332    
          36          31   4873.893    
          36          35   1274.141    
          36          37   4066.853    
          36          45   505.0015    
          37          30   2005.315    
          37          36   5897.665    
          37          38   2929.577    
          37          46   570.9565    
          38          29   3149.617    
          38          37   3671.988    
          38          39   1349.996    
          38          47   821.3415    
          39          28   2659.635    
          39          38   3634.137    
          39          40   293.4370    
          39          47   303.9335    
          40          27   2022.494    
          40          39   4028.405    
          40          41   1418.282    
          41          26   2474.944    
          41          40   4880.225    
          41          42   1389.992    
          42          25   2055.761    
          42          41   5481.675    
          42          43   1570.018    
          42          50   114.0000    
          43          22   48.17617    
          43          23   1381.220    
          43          24   1520.826    
          43          42   5306.522    
          44          35   302.4893    
          44          45   1608.110    
          45          36   537.3492    
          45          44   1214.734    
          45          46   657.3317    
          45          48   415.1639    
          46          37   622.3253    
          46          45   591.1845    
          46          47   800.4060    
          46          48   189.1917    
          47          38   793.7277    
          47          39   359.3247    
          47          46   789.2080    
          47          48   38.59215    
          48          45   415.7672    
          48          46   185.6112    
          48          47   55.17183    
          48          49   12.00000    
          49          48   64.60000    
          50          42   129.0000    
          51          49   52.60000    
          52          44   202.4000    
          53          50   15.00000    
_____________________________________________________________________
2						k, Number of the  LAYER
149 						Non_nuls  Quantity of non-zero coefficients
N of the initial PLANAR box 	N of the terminal PLANAR box   Exchange(km3/y)
           3           4   165.0000    
           4           5   21798.82    
           4           6   3812.374    
           4           7   4673.865    
           5           4   2553.380    
           5           8   7647.180    
           5           9   11399.77    
           5          10   11430.94    
           5          11   1348.052    
           6           4   14575.96    
           6           7   11010.58    
           6          33   14165.10    
           7           4   13358.21    
           7           6   10835.87    
           7           8   7846.035    
           7          32   6849.808    
           8           5   5987.300    
           8           7   11349.66    
           8           9   9484.838    
           8          31   5569.116    
           9           5   3536.394    
           9           8   9322.178    
           9          10   14034.50    
           9          30   6006.614    
          10           5   2728.523    
          10           9   6082.220    
          10          11   23360.18    
          10          29   4496.763    
          11           5   328.2886    
          11          10   3774.074    
          11          12   21428.24    
          11          28   7502.670    
          12          11   3224.667    
          12          13   21022.85    
          12          27   6512.832    
          13          12   3096.307    
          13          14   7134.957    
          13          15   14963.69    
          13          26   7551.975    
          14          13   3242.369    
          14          15   4027.387    
          14          17   11127.73    
