 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.371E-01                                       1.235E+03   1.436E+01 
    2   2.150E+00                                       1.266E+03   7.084E+00 
    3   2.188E+01   8.391E+00   2.831E+00               5.740E+01   1.779E-01 
    4   3.504E+01   3.010E+01   4.597E+00   2.291E-01   2.292E+00   2.974E-03 
    5   3.498E+01   3.007E+01   4.593E+00   2.279E-01   9.988E+00   1.291E-02 
    6   3.498E+01   3.019E+01   4.601E+00               1.406E+02   3.111E-01 
    7   3.491E+01   3.013E+01   4.596E+00   2.276E-01   1.922E+01   2.481E-02 
    8   3.483E+01   3.004E+01   4.593E+00   2.270E-01   1.919E+01   2.471E-02 
    9   3.473E+01   2.994E+01   4.591E+00   2.264E-01   1.915E+01   2.460E-02 
   10   3.464E+01   2.986E+01   4.591E+00   2.262E-01   1.898E+01   2.438E-02 
   11   3.473E+01   2.991E+01   4.590E+00   2.259E-01   1.425E+01   1.831E-02 
   12   3.477E+01   2.991E+01   4.589E+00   2.255E-01   1.131E+01   1.451E-02 
   13   3.482E+01   2.991E+01   4.589E+00   2.247E-01   1.675E+01   2.143E-02 
   14   3.515E+01   3.008E+01   4.599E+00               1.141E+02   2.526E-01 
   15   3.497E+01   2.997E+01   4.591E+00   2.243E-01   1.712E+01   2.187E-02 
   16   3.507E+01   3.001E+01   4.590E+00   2.241E-01   1.894E+01   2.418E-02 
   17   3.525E+01   3.012E+01   4.592E+00   2.244E-01   1.240E+01   1.585E-02 
   18   3.503E+01   2.997E+01   4.589E+00   2.240E-01   1.894E+01   2.418E-02 
   19   3.479E+01   2.982E+01   4.588E+00   2.242E-01   1.875E+01   2.393E-02 
   20   3.527E+01   3.011E+01   4.589E+00   2.247E-01   1.282E+01   1.640E-02 
   21   3.499E+01   2.993E+01   4.588E+00   2.252E-01   8.070E+00   1.034E-02 
   22   3.507E+01   2.999E+01   4.589E+00   2.244E-01   9.879E+00   1.262E-02 
   23   3.498E+01   2.993E+01   4.588E+00   2.241E-01   1.779E+01   2.271E-02 
   24   3.489E+01   2.988E+01   4.588E+00   2.241E-01   1.895E+01   2.418E-02 
   25   3.469E+01   2.976E+01   4.587E+00   2.244E-01   1.897E+01   2.423E-02 
   26   3.440E+01   2.959E+01   4.586E+00   2.248E-01   1.901E+01   2.431E-02 
   27   3.390E+01   2.932E+01   4.586E+00   2.252E-01   1.904E+01   2.437E-02 
   28   3.399E+01   2.940E+01   4.586E+00   2.253E-01   1.904E+01   2.439E-02 
   29   3.417E+01   2.955E+01   4.587E+00   2.256E-01   1.880E+01   2.411E-02 
   30   3.412E+01   2.960E+01   4.588E+00   2.259E-01   1.645E+01   2.114E-02 
   31   3.453E+01   2.991E+01   4.590E+00   2.270E-01   8.888E+00   1.146E-02 
   32   3.469E+01   3.008E+01   4.592E+00   2.296E-01   1.211E+00   1.573E-03 
   33   3.480E+01   3.017E+01                           2.460E+03   1.669E+01 
   34   3.431E+01                                       1.216E+03   1.059E+01 
   35   3.390E+01   3.015E+01                           7.648E+02   5.242E+00 
   36   3.399E+01   2.988E+01                           1.911E+03   1.300E+01 
   37   3.395E+01   2.967E+01   4.589E+00               1.623E+02   3.590E-01 
   38   3.419E+01   2.969E+01   4.588E+00   2.271E-01   5.765E+00   7.430E-03 
   39   3.397E+01   2.943E+01   4.587E+00               1.570E+02   3.475E-01 
   40   3.386E+01   2.926E+01   4.584E+00   2.254E-01   1.096E+01   1.405E-02 
   41   3.395E+01   2.930E+01   4.584E+00   2.254E-01   8.084E+00   1.036E-02 
   42   3.425E+01   2.947E+01   4.585E+00   2.253E-01   4.162E+00   5.331E-03 
   43   3.469E+01   2.975E+01   4.586E+00   2.246E-01   1.004E+01   1.281E-02 
   44   3.149E+01                                       4.552E+03   2.510E+02 
   45   3.290E+01                                       1.208E+03   1.065E+01 
   46   3.316E+01   3.008E+01                           6.723E+02   4.696E+00 
   47   3.383E+01   3.001E+01                           5.040E+02   3.494E+00 
   48   3.311E+01                                       9.378E+02   8.361E+00 
   49   1.069E+01                                       5.475E+02   1.761E+01 
   50   3.259E+01                                       8.932E+02   1.832E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1991.75000000000     
