 # Concentrations in food-stuffs being consumed by people [Bq/kg]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1945000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1946000E+04   0.2847190E-04   0.6966686E-04   0.1437047E-02   0.1616817E-02   0.1648610E-02   0.1645895E-02   0.1658005E-02   0.1673450E-02   0.1680099E-02   0.1688644E-02   0.1704254E-02   0.1724393E-02   0.1741180E-02   0.1754197E-02   0.1758027E-02   0.1764683E-02   0.1763102E-02   0.1766806E-02   0.1767670E-02   0.1766449E-02   0.1767480E-02   0.1769876E-02   0.1773099E-02   0.1777041E-02   0.1790905E-02   0.1784842E-02   0.1771911E-02   0.1756526E-02   0.1741558E-02   0.1719408E-02   0.1686985E-02   0.1656815E-02   0.1610751E-02   0.9860344E-03   0.1505323E-02   0.1626125E-02   0.1695821E-02   0.1740992E-02   0.1781530E-02   0.1809557E-02   0.1830032E-02   0.1853294E-02   0.1789375E-02   0.9508147E-03   0.1035897E-02   0.1506122E-02   0.1663168E-02   0.1307488E-02   0.1261282E-02   0.5890299E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1947000E+04   0.4810792E-04   0.9777922E-04   0.1744759E-02   0.2127132E-02   0.2165697E-02   0.2162082E-02   0.2177886E-02   0.2199089E-02   0.2209440E-02   0.2223342E-02   0.2247340E-02   0.2279910E-02   0.2308617E-02   0.2333270E-02   0.2339581E-02   0.2355828E-02   0.2354699E-02   0.2363217E-02   0.2367760E-02   0.2365115E-02   0.2368155E-02   0.2371921E-02   0.2375188E-02   0.2378669E-02   0.2395371E-02   0.2383159E-02   0.2360933E-02   0.2334187E-02   0.2307889E-02   0.2271458E-02   0.2221936E-02   0.2178296E-02   0.2118245E-02   0.1369364E-02   0.1974845E-02   0.2138996E-02   0.2234134E-02   0.2304434E-02   0.2374359E-02   0.2422423E-02   0.2453608E-02   0.2485587E-02   0.2398371E-02   0.1247625E-02   0.1351346E-02   0.1929598E-02   0.2161385E-02   0.1552847E-02   0.1027495E-02   0.7910193E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1948000E+04   0.4659143E-04   0.7157280E-04   0.9839357E-03   0.1380771E-02   0.1400052E-02   0.1397964E-02   0.1406744E-02   0.1419373E-02   0.1426461E-02   0.1436370E-02   0.1452554E-02   0.1475586E-02   0.1496747E-02   0.1516008E-02   0.1520773E-02   0.1535165E-02   0.1534967E-02   0.1542496E-02   0.1547413E-02   0.1545114E-02   0.1548056E-02   0.1550784E-02   0.1552192E-02   0.1553293E-02   0.1562643E-02   0.1552702E-02   0.1536024E-02   0.1515792E-02   0.1495737E-02   0.1469439E-02   0.1436095E-02   0.1408403E-02   0.1372178E-02   0.1005940E-02   0.1286517E-02   0.1384114E-02   0.1443612E-02   0.1491917E-02   0.1544649E-02   0.1580975E-02   0.1602577E-02   0.1622739E-02   0.1567541E-02   0.8599445E-03   0.9273820E-03   0.1227603E-02   0.1377249E-02   0.9291287E-03   0.1878634E-03   0.4993984E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1949000E+04   0.7646556E-04   0.1360172E-03   0.2293338E-02   0.2831233E-02   0.2876701E-02   0.2872293E-02   0.2890426E-02   0.2914517E-02   0.2925964E-02   0.2941072E-02   0.2967428E-02   0.3002720E-02   0.3033193E-02   0.3058186E-02   0.3065329E-02   0.3080470E-02   0.3078367E-02   0.3086704E-02   0.3090250E-02   0.3087578E-02   0.3090344E-02   0.3094666E-02   0.3099287E-02   0.3104630E-02   0.3126143E-02   0.3113959E-02   0.3090060E-02   0.3061344E-02   0.3033115E-02   0.2993501E-02   0.2938583E-02   0.2889818E-02   0.2814843E-02   0.1932216E-02   0.2648537E-02   0.2837546E-02   0.2952467E-02   0.3030112E-02   0.3105727E-02   0.3158131E-02   0.3193602E-02   0.3231469E-02   0.3126737E-02   0.1772558E-02   0.1926556E-02   0.2614620E-02   0.2872862E-02   0.2219068E-02   0.1557062E-02   0.9769469E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1950000E+04   0.7995364E-04   0.1199938E-03   0.1661507E-02   0.2277042E-02   0.2307407E-02   0.2303710E-02   0.2316979E-02   0.2335777E-02   0.2345986E-02   0.2359858E-02   0.2382832E-02   0.2415016E-02   0.2444181E-02   0.2470217E-02   0.2476727E-02   0.2495412E-02   0.2494830E-02   0.2504605E-02   0.2510616E-02   0.2507614E-02   0.2511328E-02   0.2515119E-02   0.2517550E-02   0.2519777E-02   0.2534051E-02   0.2520817E-02   0.2497951E-02   0.2470160E-02   0.2442532E-02   0.2405836E-02   0.2358016E-02   0.2318090E-02   0.2260607E-02   0.1684826E-02   0.2130548E-02   0.2276814E-02   0.2368480E-02   0.2437100E-02   0.2509946E-02   0.2560063E-02   0.2590442E-02   0.2619679E-02   0.2539517E-02   0.1464939E-02   0.1584929E-02   0.2057066E-02   0.2275454E-02   0.1638291E-02   0.5473177E-03   0.7539463E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1951000E+04   0.7668238E-04   0.9880053E-04   0.1147298E-02   0.1711248E-02   0.1726310E-02   0.1725540E-02   0.1732477E-02   0.1742312E-02   0.1747767E-02   0.1755771E-02   0.1768831E-02   0.1787552E-02   0.1804676E-02   0.1819912E-02   0.1824130E-02   0.1835348E-02   0.1834823E-02   0.1840960E-02   0.1844711E-02   0.1842795E-02   0.1845151E-02   0.1847571E-02   0.1849097E-02   0.1850519E-02   0.1859457E-02   0.1851580E-02   0.1837812E-02   0.1821206E-02   0.1804914E-02   0.1783572E-02   0.1757163E-02   0.1734733E-02   0.1695794E-02   0.1404995E-02   0.1631510E-02   0.1707332E-02   0.1764075E-02   0.1802824E-02   0.1845908E-02   0.1875969E-02   0.1894419E-02   0.1911899E-02   0.1862755E-02   0.1322091E-02   0.1357252E-02   0.1586649E-02   0.1701721E-02   0.1363128E-02   0.9264686E-03   0.4896685E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1952000E+04   0.2565270E-03   0.5355788E-03   0.1018343E-01   0.1187270E-01   0.1208116E-01   0.1207219E-01   0.1215208E-01   0.1225167E-01   0.1229279E-01   0.1234888E-01   0.1245214E-01   0.1258610E-01   0.1269759E-01   0.1278280E-01   0.1280975E-01   0.1285255E-01   0.1284062E-01   0.1286555E-01   0.1287049E-01   0.1286211E-01   0.1286892E-01   0.1288573E-01   0.1290866E-01   0.1293689E-01   0.1303423E-01   0.1299465E-01   0.1290796E-01   0.1280587E-01   0.1270838E-01   0.1256286E-01   0.1235474E-01   0.1215361E-01   0.1182483E-01   0.7658606E-02   0.1118079E-01   0.1194904E-01   0.1242084E-01   0.1271431E-01   0.1297987E-01   0.1316521E-01   0.1330458E-01   0.1346292E-01   0.1302162E-01   0.7975839E-02   0.8220280E-02   0.1121373E-01   0.1220362E-01   0.1008327E-01   0.1234138E-01   0.4120354E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1953000E+04   0.4336542E-03   0.8418790E-03   0.1480696E-01   0.1813805E-01   0.1844320E-01   0.1843192E-01   0.1855538E-01   0.1871422E-01   0.1878573E-01   0.1888701E-01   0.1906600E-01   0.1930694E-01   0.1951599E-01   0.1968923E-01   0.1973797E-01   0.1984504E-01   0.1983162E-01   0.1989005E-01   0.1991604E-01   0.1989741E-01   0.1991705E-01   0.1994654E-01   0.1997699E-01   0.2001172E-01   0.2015455E-01   0.2007035E-01   0.1990781E-01   0.1971489E-01   0.1952935E-01   0.1926482E-01   0.1890698E-01   0.1857185E-01   0.1806696E-01   0.1198441E-01   0.1705803E-01   0.1827246E-01   0.1901664E-01   0.1952841E-01   0.2002669E-01   0.2037209E-01   0.2061090E-01   0.2086320E-01   0.2016204E-01   0.1225388E-01   0.1249676E-01   0.1688885E-01   0.1853895E-01   0.1473403E-01   0.1921347E-01   0.6443950E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
