 # Concentration in FILTERED water [Bq/m3]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1945000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.0000000E+00  -0.9990000E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1946000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2874964E-07   0.2373120E-07  -0.9990000E+03   0.2232128E-07   0.2036103E-07   0.1891863E-07   0.1853775E-07   0.1804984E-07   0.1768316E-07   0.1635791E-07  -0.9990000E+03   0.1573889E-07   0.1539189E-07   0.1683544E-07   0.1559675E-07   0.1624057E-07   0.1773805E-07   0.1967136E-07   0.1700198E-07   0.1583309E-07   0.1568130E-07   0.1610473E-07   0.1659435E-07   0.1713243E-07   0.1698904E-07   0.1767105E-07   0.1807313E-07   0.2187080E-07   0.3205568E-07  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2322214E-07  -0.9990000E+03   0.1867738E-07   0.1909151E-07   0.1969305E-07   0.1734197E-07  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1947000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.3260839E-06   0.2939979E-06  -0.9990000E+03   0.2840212E-06   0.2696141E-06   0.2582577E-06   0.2541451E-06   0.2495166E-06   0.2439417E-06   0.2318731E-06  -0.9990000E+03   0.2258548E-06   0.2223511E-06   0.2321828E-06   0.2236076E-06   0.2287526E-06   0.2399321E-06   0.2539383E-06   0.2337199E-06   0.2253050E-06   0.2245068E-06   0.2282582E-06   0.2335153E-06   0.2391726E-06   0.2396648E-06   0.2451280E-06   0.2493042E-06   0.2762213E-06   0.3436297E-06  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2825142E-06  -0.9990000E+03   0.2486001E-06   0.2502692E-06   0.2523330E-06   0.2358598E-06  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1948000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.1246675E-05   0.1164261E-05  -0.9990000E+03   0.1138049E-05   0.1098821E-05   0.1066975E-05   0.1054045E-05   0.1040125E-05   0.1020942E-05   0.9844900E-06  -0.9990000E+03   0.9658702E-06   0.9546009E-06   0.9800301E-06   0.9573238E-06   0.9715766E-06   0.1002125E-05   0.1040214E-05   0.9845246E-06   0.9619424E-06   0.9604876E-06   0.9719053E-06   0.9887208E-06   0.1006724E-05   0.1010415E-05   0.1026356E-05   0.1039607E-05   0.1112169E-05   0.1288398E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.1125241E-05  -0.9990000E+03   0.1029727E-05   0.1032463E-05   0.1034996E-05   0.9904659E-06  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1949000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.3018854E-05   0.2870491E-05  -0.9990000E+03   0.2823288E-05   0.2750912E-05   0.2691332E-05   0.2665790E-05   0.2638870E-05   0.2599347E-05   0.2528086E-05  -0.9990000E+03   0.2491287E-05   0.2468299E-05   0.2513370E-05   0.2472170E-05   0.2498209E-05   0.2554289E-05   0.2624346E-05   0.2521645E-05   0.2480657E-05   0.2479071E-05   0.2501678E-05   0.2535462E-05   0.2571588E-05   0.2581027E-05   0.2611809E-05   0.2638328E-05   0.2771890E-05   0.3091769E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2792207E-05  -0.9990000E+03   0.2611002E-05   0.2614150E-05   0.2615616E-05   0.2533366E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1950000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.5918625E-05   0.5681362E-05  -0.9990000E+03   0.5605682E-05   0.5488288E-05   0.5390925E-05   0.5347944E-05   0.5303135E-05   0.5235132E-05   0.5115728E-05  -0.9990000E+03   0.5053725E-05   0.5014213E-05   0.5085197E-05   0.5019164E-05   0.5060802E-05   0.5151097E-05   0.5264064E-05   0.5098278E-05   0.5032806E-05   0.5031483E-05   0.5069706E-05   0.5127158E-05   0.5188573E-05   0.5206425E-05   0.5257554E-05   0.5302498E-05   0.5518731E-05   0.6032521E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.5547628E-05  -0.9990000E+03   0.5249283E-05   0.5252447E-05   0.5251556E-05   0.5118279E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1951000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.1015994E-04   0.9821467E-05  -0.9990000E+03   0.9713325E-05   0.9543489E-05   0.9401588E-05   0.9337176E-05   0.9270710E-05   0.9166735E-05   0.8988487E-05  -0.9990000E+03   0.8895434E-05   0.8835055E-05   0.8934758E-05   0.8840327E-05   0.8899757E-05   0.9029519E-05   0.9192143E-05   0.8953261E-05   0.8859919E-05   0.8859789E-05   0.8917338E-05   0.9004289E-05   0.9097190E-05   0.9126661E-05   0.9202405E-05   0.9270209E-05   0.9582520E-05   0.1031881E-04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.9618736E-05  -0.9990000E+03   0.9180520E-05   0.9182355E-05   0.9176431E-05   0.8983651E-05  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1952000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.1594627E-04   0.1547345E-04  -0.9990000E+03   0.1532361E-04   0.1508739E-04   0.1489012E-04   0.1480026E-04   0.1470771E-04   0.1456179E-04   0.1431188E-04  -0.9990000E+03   0.1418134E-04   0.1409556E-04   0.1423220E-04   0.1410130E-04   0.1418237E-04   0.1436149E-04   0.1458680E-04   0.1425687E-04   0.1412839E-04   0.1412959E-04   0.1421092E-04   0.1433321E-04   0.1446393E-04   0.1450627E-04   0.1461257E-04   0.1470780E-04   0.1514293E-04   0.1617036E-04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.1519259E-04  -0.9990000E+03   0.1457793E-04   0.1457966E-04   0.1457010E-04   0.1430115E-04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
    0.1953000E+04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2478737E-04   0.2403312E-04  -0.9990000E+03   0.2379432E-04   0.2342225E-04   0.2311354E-04   0.2297590E-04   0.2283303E-04   0.2261240E-04   0.2222744E-04  -0.9990000E+03   0.2202715E-04   0.2189638E-04   0.2211477E-04   0.2190729E-04   0.2203461E-04   0.2231642E-04   0.2267093E-04   0.2215290E-04   0.2194987E-04   0.2194993E-04   0.2207497E-04   0.2226164E-04   0.2246133E-04   0.2252240E-04   0.2268684E-04   0.2283227E-04   0.2351854E-04   0.2515027E-04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03   0.2360482E-04  -0.9990000E+03   0.2264688E-04   0.2265359E-04   0.2264530E-04   0.2222189E-04  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03  -0.9990000E+03
