Characteristics	of	<<Cs-137>>	release	from	<<Dnipro>>	(RIVER	boxes)				
71	Nmsr,	quantity	of	STEADINESS	PERIODS						
1	Nboxriv,quantity	of	river	boxes	discharging	radioactive	water				
2	reltp	"(1-""point"","	"2-""step"""	(interval))							
49	1	NumRejP,NumRejV,	planar	and	vertical	numbers	of	the	release	box	<<???>>
1950	0.00E+00	RLS(	,l,	)-release	moment	or	steadiness	interval,RLS(	,	,l)-releas	power:
1	1.49E+09										
1	8.83E+09										
1	2.21E+10										
1	3.11E+10										
1	1.44E+11										
1	2.46E+11										
1	2.89E+11										
1	4.96E+11										
1	3.97E+11										
1	3.27E+11										
1	4.04E+11										
1	4.61E+11										
1	7.43E+11										
1	7.41E+11										
1	9.02E+11										
1	1.38E+12										
1	9.78E+11										
1	6.05E+11										
1	5.70E+11										
1	8.66E+11										
1	5.37E+11										
1	2.38E+11										
1	2.42E+11										
1	2.35E+11										
1	2.42E+11										
1	1.63E+11										
1	2.20E+11										
1	2.30E+11										
1	2.58E+11										
1	2.55E+11										
1	2.36E+11										
1	1.87E+11										
1	1.26E+11										
1	8.11E+10										
1	1.28E+11										
1	5.90E+11										
1	3.30E+11										
1	1.15E+12										
1	4.90E+11										
1	3.80E+11										
1	3.00E+11										
1	7.00E+10										
1	7.00E+10										
1	6.30E+10										
1	4.80E+10										
1	2.20E+10										
1	3.00E+10										
1	8.46E+10										
1	7.91E+10										
1	5.36E+10										
1	5.48E+10										
1	3.95E+10										
1	3.96E+10										
1	4.99E+10										
1	4.78E+10										
1	4.88E+10										
1	3.34E+10										
1	3.55E+10										
1	3.58E+10										
1	3.87E+10										
1	3.47E+10										
1	3.31E+10										
1	3.15E+10										
1	3.01E+10										
1	2.87E+10										
1	2.73E+10										
1	2.61E+10										
1	2.49E+10										
1	2.37E+10										
1	2.26E+10										
