 # Concentrations in food-stuffs being consumed by people [Bq/kg]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1945000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1946000E+04   0.9423956E-04   0.2631499E-03   0.4407247E-02   0.5928044E-02   0.5929145E-02   0.5928123E-02   0.5931425E-02   0.5938073E-02   0.5939758E-02   0.5938902E-02   0.5942050E-02   0.5947926E-02   0.5949238E-02   0.5945070E-02   0.5946135E-02   0.5933275E-02   0.5936651E-02   0.5929888E-02   0.5926662E-02   0.5928404E-02   0.5925778E-02   0.5924338E-02   0.5919853E-02   0.5922023E-02   0.5960129E-02   0.5977593E-02   0.5989495E-02   0.5979230E-02   0.5974615E-02   0.5967209E-02   0.5954207E-02   0.5930908E-02   0.5833457E-02   0.5828623E-02   0.5782237E-02   0.5865869E-02   0.5985010E-02   0.5997845E-02   0.6021276E-02   0.6056625E-02   0.6071140E-02   0.6104636E-02   0.5946979E-02   0.5545536E-02   0.5925493E-02   0.5970326E-02   0.5951411E-02   0.6172012E-02   0.4483929E-02   0.1965187E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1947000E+04   0.1587090E-03   0.4017053E-03   0.5533976E-02   0.8048671E-02   0.8052755E-02   0.8046507E-02   0.8054391E-02   0.8067121E-02   0.8070895E-02   0.8070130E-02   0.8077209E-02   0.8089956E-02   0.8097331E-02   0.8095261E-02   0.8097460E-02   0.8083296E-02   0.8086447E-02   0.8079042E-02   0.8075271E-02   0.8077178E-02   0.8074213E-02   0.8072688E-02   0.8067577E-02   0.8071779E-02   0.8125050E-02   0.8149659E-02   0.8162647E-02   0.8140312E-02   0.8126676E-02   0.8111395E-02   0.8089110E-02   0.8051150E-02   0.7911613E-02   0.7881359E-02   0.7812833E-02   0.7935525E-02   0.8108679E-02   0.8137805E-02   0.8189188E-02   0.8258728E-02   0.8278506E-02   0.8320912E-02   0.8105921E-02   0.7440165E-02   0.7945298E-02   0.7997938E-02   0.8021561E-02   0.8102910E-02   0.3938063E-02   0.2643913E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1948000E+04   0.1533644E-03   0.3274379E-03   0.3406025E-02   0.5400320E-02   0.5405427E-02   0.5396674E-02   0.5405162E-02   0.5416880E-02   0.5420655E-02   0.5420481E-02   0.5427604E-02   0.5440213E-02   0.5450399E-02   0.5452756E-02   0.5454996E-02   0.5449733E-02   0.5450030E-02   0.5447450E-02   0.5445852E-02   0.5446492E-02   0.5445375E-02   0.5444937E-02   0.5442800E-02   0.5446768E-02   0.5481452E-02   0.5497220E-02   0.5501897E-02   0.5479810E-02   0.5464376E-02   0.5449872E-02   0.5431260E-02   0.5400653E-02   0.5299961E-02   0.5256291E-02   0.5206830E-02   0.5296697E-02   0.5423192E-02   0.5452596E-02   0.5503212E-02   0.5567200E-02   0.5580060E-02   0.5604461E-02   0.5468450E-02   0.4910632E-02   0.5235971E-02   0.5268149E-02   0.5326967E-02   0.5203873E-02   0.1032187E-02   0.1678926E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1949000E+04   0.2524657E-03   0.5645382E-03   0.7433983E-02   0.1055440E-01   0.1056009E-01   0.1055102E-01   0.1056169E-01   0.1057828E-01   0.1058314E-01   0.1058216E-01   0.1059116E-01   0.1060737E-01   0.1061761E-01   0.1061626E-01   0.1061928E-01   0.1060392E-01   0.1060686E-01   0.1059909E-01   0.1059514E-01   0.1059709E-01   0.1059402E-01   0.1059247E-01   0.1058662E-01   0.1059197E-01   0.1065554E-01   0.1068396E-01   0.1069815E-01   0.1066992E-01   0.1065270E-01   0.1063360E-01   0.1060550E-01   0.1055689E-01   0.1037260E-01   0.1032732E-01   0.1024040E-01   0.1040005E-01   0.1062751E-01   0.1066448E-01   0.1072869E-01   0.1081510E-01   0.1083970E-01   0.1089176E-01   0.1063312E-01   0.9749045E-02   0.1040244E-01   0.1048021E-01   0.1051055E-01   0.1064552E-01   0.5739470E-02   0.3276809E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1950000E+04   0.2637281E-03   0.5263389E-03   0.5614171E-02   0.8659734E-02   0.8667749E-02   0.8653902E-02   0.8666639E-02   0.8684647E-02   0.8690406E-02   0.8690128E-02   0.8700596E-02   0.8719033E-02   0.8734108E-02   0.8737919E-02   0.8741240E-02   0.8734326E-02   0.8734564E-02   0.8731324E-02   0.8729430E-02   0.8730195E-02   0.8728850E-02   0.8728264E-02   0.8724850E-02   0.8730289E-02   0.8780115E-02   0.8802151E-02   0.8808671E-02   0.8776665E-02   0.8754454E-02   0.8733304E-02   0.8705563E-02   0.8659061E-02   0.8499150E-02   0.8431764E-02   0.8355012E-02   0.8495992E-02   0.8695839E-02   0.8739008E-02   0.8812201E-02   0.8904718E-02   0.8923985E-02   0.8960732E-02   0.8762219E-02   0.7890068E-02   0.8409799E-02   0.8467277E-02   0.8550046E-02   0.8413089E-02   0.2377725E-02   0.2538257E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1951000E+04   0.2530757E-03   0.4422911E-03   0.4084706E-02   0.6476905E-02   0.6479424E-02   0.6475448E-02   0.6481501E-02   0.6488996E-02   0.6491268E-02   0.6490896E-02   0.6496130E-02   0.6505747E-02   0.6512813E-02   0.6513307E-02   0.6515120E-02   0.6508508E-02   0.6509262E-02   0.6505868E-02   0.6503715E-02   0.6504595E-02   0.6503105E-02   0.6502585E-02   0.6500924E-02   0.6504743E-02   0.6536380E-02   0.6551349E-02   0.6556723E-02   0.6539387E-02   0.6527796E-02   0.6516762E-02   0.6502674E-02   0.6480388E-02   0.6367401E-02   0.6343355E-02   0.6309090E-02   0.6370438E-02   0.6501027E-02   0.6522344E-02   0.6561554E-02   0.6612669E-02   0.6623609E-02   0.6645157E-02   0.6523643E-02   0.6119055E-02   0.6341969E-02   0.6358806E-02   0.6393682E-02   0.6322873E-02   0.3433376E-02   0.1660161E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1952000E+04   0.8487070E-03   0.2074506E-02   0.3176762E-01   0.4370849E-01   0.4369159E-01   0.4373102E-01   0.4372971E-01   0.4373881E-01   0.4373762E-01   0.4372984E-01   0.4373546E-01   0.4375046E-01   0.4372680E-01   0.4367300E-01   0.4367557E-01   0.4355653E-01   0.4359064E-01   0.4352576E-01   0.4349292E-01   0.4351020E-01   0.4348412E-01   0.4347100E-01   0.4343972E-01   0.4345406E-01   0.4372296E-01   0.4385592E-01   0.4396006E-01   0.4392876E-01   0.4393001E-01   0.4390626E-01   0.4385164E-01   0.4375839E-01   0.4309173E-01   0.4325969E-01   0.4305505E-01   0.4339660E-01   0.4414713E-01   0.4416781E-01   0.4423864E-01   0.4438618E-01   0.4447725E-01   0.4470461E-01   0.4362051E-01   0.4233535E-01   0.4416068E-01   0.4430928E-01   0.4395890E-01   0.4589374E-01   0.4306200E-01   0.1377389E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1953000E+04   0.1431902E-02   0.3422726E-02   0.4711015E-01   0.6837619E-01   0.6835449E-01   0.6840761E-01   0.6841557E-01   0.6843726E-01   0.6843821E-01   0.6842651E-01   0.6844300E-01   0.6847987E-01   0.6845605E-01   0.6837787E-01   0.6838320E-01   0.6819758E-01   0.6824993E-01   0.6814762E-01   0.6809396E-01   0.6812153E-01   0.6807952E-01   0.6805923E-01   0.6801375E-01   0.6804162E-01   0.6847717E-01   0.6869811E-01   0.6885806E-01   0.6878642E-01   0.6876844E-01   0.6871708E-01   0.6861967E-01   0.6845931E-01   0.6739531E-01   0.6760474E-01   0.6728756E-01   0.6782054E-01   0.6901918E-01   0.6908377E-01   0.6925020E-01   0.6954079E-01   0.6968010E-01   0.7002199E-01   0.6830401E-01   0.6614509E-01   0.6882513E-01   0.6900536E-01   0.6859910E-01   0.7092173E-01   0.6780096E-01   0.2155840E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
