 interval        deposition(Bq/year)
          76    Nmsr
           1    Nboxprec
           2    reltp
          17           1    NumPlan   NumVert
   1945.000      0.0000000E+00    Release   Bq/year
           1  3.4355411E+10
           1  2.4812241E+10
           1  3.8172678E+08
           1  3.8554407E+10
           1  8.0162627E+09
           1  3.8172678E+08
           1  2.2140153E+11
           1  2.2521881E+11
           1  9.5431695E+11
           1  2.4812242E+12
           1  3.7027499E+12
           1  3.4164549E+12
           1  3.3591958E+12
           1  4.4471172E+12
           1  7.4245860E+12
           1  1.8494664E+12
           1  2.4812242E+12
           1  1.0192105E+13
           1  1.8513750E+13
           1  1.1699926E+13
           1  5.4586932E+12
           1  2.3094470E+12
           1  1.1909876E+12
           1  1.3780336E+12
           1  1.0402055E+12
           1  1.4543790E+12
           1  1.3303178E+12
           1  6.0885421E+11
           1  2.2521881E+11
           1  8.5125071E+11
           1  4.1226492E+11
           1  1.9086339E+11
           1  5.7449880E+11
           1  7.0619457E+11
           1  2.2140153E+11
           1  2.1185837E+11
           1  3.1492460E+11
           1  8.9705800E+10
           1  6.2984921E+10
           1  5.1533115E+10
           1.33  1.4887344E+10  
           0.083000  2.011939E+14 
           1.587  3.7723374E+09 
           1  3.7166310E+09
           1  3.6619745E+09
           1  3.6346463E+09
           1  4.1538813E+09
           1  3.8532718E+09
           1  3.9899126E+09
           1  4.6731167E+09
           1  3.7712870E+09
           1  2.8148014E+09
           1  2.6235041E+09
           1  1.8309873E+09
           1  2.6235041E+09
           1  2.4595351E+09
           1  2.4010465E+09
           1  2.3439493E+09
           1  2.2882094E+09
           1  2.2337951E+09
           1  2.1806746E+09
           1  2.1288174E+09
           1  2.0781938E+09
           1  2.0287735E+09
           1  1.9805288E+09
           1  1.9334312E+09
           1  1.8874537E+09
           1  1.8425695E+09
           1  1.7987528E+09
           1  1.7559776E+09
           1  1.7142200E+09
           1  1.6734555E+09
           1  1.6336602E+09
           1  1.5948113E+09
           1  1.5568861E+09
