Characteristics	of	<<Cs-137>>	release	from	<<Dunaj>>	(RIVER	boxes)				
71	Nmsr,	quantity	of	STEADINESS	PERIODS						
1	Nboxriv,quantity	of	river	boxes	discharging	radioactive	water				
2	reltp	"(1-""point"","	"2-""step"""	(interval))							
44	1	NumRejP,NumRejV,	planar	and	vertical	numbers	of	the	release	box	<<???>>
1950	0.00E+00	RLS(	,l,	)-release	moment	or	steadiness	interval,RLS(	,	,l)-releas	power:
1	5.91E+09										
1	3.62E+10										
1	6.33E+10										
1	1.97E+11										
1	7.98E+11										
1	1.28E+12										
1	1.24E+12										
1	1.51E+12										
1	1.54E+12										
1	2.64E+12										
1	1.70E+12										
1	1.93E+12										
1	3.10E+12										
1	4.72E+12										
1	7.66E+12										
1	6.32E+12										
1	4.53E+12										
1	2.75E+12										
1	2.72E+12										
1	3.03E+12										
1	1.49E+12										
1	1.59E+12										
1	1.26E+12										
1	1.31E+12										
1	1.36E+12										
1	9.95E+11										
1	1.04E+12										
1	1.02E+12										
1	1.10E+12										
1	1.11E+12										
1	9.47E+11										
1	7.85E+11										
1	5.41E+11										
1	5.83E+11										
1	5.42E+11										
1	4.25E+12										
1	6.24E+12										
1	2.82E+12										
1	1.34E+12										
1	5.40E+11										
1	1.95E+12										
1	1.22E+12										
1	1.08E+12										
1	8.00E+11										
1	5.60E+11										
1	4.50E+11										
1	2.80E+11										
1	3.20E+11										
1	3.61E+11										
1	2.83E+11										
1	2.57E+11										
1	2.60E+11										
1	1.81E+11										
1	2.28E+11										
1	2.79E+11										
1	2.57E+11										
1	1.67E+11										
1	1.69E+11										
1	1.75E+11										
1	2.45E+11										
1	1.65E+11										
1	1.58E+11										
1	1.50E+11										
1	1.43E+11										
1	1.37E+11										
1	1.30E+11										
1	1.24E+11										
1	1.19E+11										
1	1.13E+11										
1	1.08E+11										
