 # Concentrations in food-stuffs being consumed by people [Bq/kg]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1945000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1946000E+04   0.4711979E-04   0.1315768E-03   0.2204072E-02   0.2965107E-02   0.2965312E-02   0.2965168E-02   0.2966811E-02   0.2970342E-02   0.2971147E-02   0.2970549E-02   0.2971463E-02   0.2972656E-02   0.2972333E-02   0.2970418E-02   0.2970398E-02   0.2965620E-02   0.2967044E-02   0.2963739E-02   0.2962789E-02   0.2963951E-02   0.2962503E-02   0.2961818E-02   0.2959275E-02   0.2957439E-02   0.2968317E-02   0.2977961E-02   0.2987605E-02   0.2988711E-02   0.2985317E-02   0.2982397E-02   0.2977431E-02   0.2965925E-02   0.2917586E-02   0.2916211E-02   0.2896188E-02   0.2943501E-02   0.2997400E-02   0.2999870E-02   0.3012693E-02   0.3025666E-02   0.3031298E-02   0.3046141E-02   0.2971648E-02   0.2783404E-02   0.2982086E-02   0.2996517E-02   0.2979774E-02   0.3102680E-02   0.2244652E-02   0.9824881E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1947000E+04   0.7935455E-04   0.2008580E-03   0.2767630E-02   0.4025836E-02   0.4027493E-02   0.4024675E-02   0.4029082E-02   0.4036253E-02   0.4038904E-02   0.4038314E-02   0.4040592E-02   0.4043723E-02   0.4044692E-02   0.4043055E-02   0.4043243E-02   0.4038063E-02   0.4039591E-02   0.4036020E-02   0.4035010E-02   0.4036266E-02   0.4034694E-02   0.4033962E-02   0.4030928E-02   0.4028823E-02   0.4044068E-02   0.4058160E-02   0.4071722E-02   0.4071802E-02   0.4065806E-02   0.4058421E-02   0.4046314E-02   0.4026160E-02   0.3955820E-02   0.3941306E-02   0.3910854E-02   0.3977880E-02   0.4067275E-02   0.4078900E-02   0.4102983E-02   0.4124360E-02   0.4131177E-02   0.4149763E-02   0.4048361E-02   0.3730902E-02   0.3995722E-02   0.4021001E-02   0.4027815E-02   0.4076227E-02   0.1973344E-02   0.1321610E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1948000E+04   0.7668232E-04   0.1637271E-03   0.1703590E-02   0.2701286E-02   0.2703694E-02   0.2699291E-02   0.2704273E-02   0.2711168E-02   0.2714325E-02   0.2714131E-02   0.2716552E-02   0.2719980E-02   0.2721978E-02   0.2721900E-02   0.2722265E-02   0.2720387E-02   0.2720874E-02   0.2719641E-02   0.2719311E-02   0.2719734E-02   0.2719193E-02   0.2718963E-02   0.2717518E-02   0.2716645E-02   0.2726681E-02   0.2736371E-02   0.2745164E-02   0.2743765E-02   0.2738681E-02   0.2730838E-02   0.2718052E-02   0.2700699E-02   0.2648946E-02   0.2626778E-02   0.2604012E-02   0.2650895E-02   0.2725690E-02   0.2740715E-02   0.2762023E-02   0.2779055E-02   0.2782705E-02   0.2793161E-02   0.2729133E-02   0.2459035E-02   0.2630274E-02   0.2654440E-02   0.2684859E-02   0.2620548E-02   0.5195724E-03   0.8389456E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1949000E+04   0.1262330E-03   0.2822804E-03   0.3717977E-02   0.5279211E-02   0.5281633E-02   0.5277369E-02   0.5283340E-02   0.5292744E-02   0.5296243E-02   0.5295507E-02   0.5298440E-02   0.5302513E-02   0.5304034E-02   0.5302337E-02   0.5302677E-02   0.5297022E-02   0.5298611E-02   0.5294822E-02   0.5293773E-02   0.5295077E-02   0.5293439E-02   0.5292680E-02   0.5289167E-02   0.5286793E-02   0.5305130E-02   0.5321910E-02   0.5337895E-02   0.5337564E-02   0.5330125E-02   0.5320791E-02   0.5305131E-02   0.5279145E-02   0.5186105E-02   0.5164150E-02   0.5125334E-02   0.5211964E-02   0.5330275E-02   0.5345284E-02   0.5374942E-02   0.5401282E-02   0.5409699E-02   0.5432412E-02   0.5310334E-02   0.4887710E-02   0.5230349E-02   0.5268231E-02   0.5276964E-02   0.5355169E-02   0.2875323E-02   0.1637755E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1950000E+04   0.1318644E-03   0.2631830E-03   0.2807857E-02   0.4331374E-02   0.4335168E-02   0.4328201E-02   0.4335660E-02   0.4346188E-02   0.4350906E-02   0.4350607E-02   0.4354192E-02   0.4359255E-02   0.4362277E-02   0.4362309E-02   0.4362865E-02   0.4360470E-02   0.4361095E-02   0.4359609E-02   0.4359272E-02   0.4359751E-02   0.4359137E-02   0.4358852E-02   0.4356624E-02   0.4355233E-02   0.4369683E-02   0.4383490E-02   0.4396074E-02   0.4393953E-02   0.4386500E-02   0.4375100E-02   0.4356178E-02   0.4329861E-02   0.4247807E-02   0.4213647E-02   0.4178349E-02   0.4252051E-02   0.4368436E-02   0.4390181E-02   0.4421040E-02   0.4445881E-02   0.4451452E-02   0.4467164E-02   0.4373611E-02   0.3950914E-02   0.4224264E-02   0.4263869E-02   0.4305741E-02   0.4235220E-02   0.1194116E-02   0.1268329E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1951000E+04   0.1265383E-03   0.2211628E-03   0.2043520E-02   0.3240220E-02   0.3241356E-02   0.3239350E-02   0.3242783E-02   0.3247265E-02   0.3249277E-02   0.3249009E-02   0.3250699E-02   0.3253113E-02   0.3254239E-02   0.3253587E-02   0.3253827E-02   0.3251193E-02   0.3251851E-02   0.3250000E-02   0.3249387E-02   0.3250069E-02   0.3249205E-02   0.3248873E-02   0.3247667E-02   0.3246989E-02   0.3256128E-02   0.3264908E-02   0.3272895E-02   0.3272210E-02   0.3268219E-02   0.3262447E-02   0.3253477E-02   0.3241231E-02   0.3184053E-02   0.3172041E-02   0.3156487E-02   0.3188901E-02   0.3260910E-02   0.3271349E-02   0.3288272E-02   0.3302238E-02   0.3305515E-02   0.3314883E-02   0.3257816E-02   0.3064025E-02   0.3181430E-02   0.3194284E-02   0.3212141E-02   0.3175401E-02   0.1719413E-02   0.8292998E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1952000E+04   0.4243541E-03   0.1037300E-02   0.1589005E-01   0.2186579E-01   0.2185462E-01   0.2187780E-01   0.2187407E-01   0.2187699E-01   0.2187208E-01   0.2186705E-01   0.2186692E-01   0.2186602E-01   0.2185445E-01   0.2183355E-01   0.2183181E-01   0.2178588E-01   0.2179941E-01   0.2176627E-01   0.2175569E-01   0.2176785E-01   0.2175271E-01   0.2174600E-01   0.2172814E-01   0.2171523E-01   0.2179116E-01   0.2185827E-01   0.2192681E-01   0.2194330E-01   0.2192766E-01   0.2192486E-01   0.2192421E-01   0.2188769E-01   0.2156410E-01   0.2165911E-01   0.2157737E-01   0.2178857E-01   0.2207479E-01   0.2205051E-01   0.2210837E-01   0.2217885E-01   0.2221780E-01   0.2232056E-01   0.2180953E-01   0.2125327E-01   0.2220467E-01   0.2218682E-01   0.2195339E-01   0.2302168E-01   0.2154285E-01   0.6885830E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1953000E+04   0.7159524E-03   0.1711456E-02   0.2356444E-01   0.3420617E-01   0.3419096E-01   0.3422293E-01   0.3422333E-01   0.3423295E-01   0.3422884E-01   0.3422111E-01   0.3422352E-01   0.3422597E-01   0.3421087E-01   0.3417956E-01   0.3417715E-01   0.3410568E-01   0.3412674E-01   0.3407458E-01   0.3405765E-01   0.3407700E-01   0.3405287E-01   0.3404239E-01   0.3401582E-01   0.3399693E-01   0.3411961E-01   0.3423107E-01   0.3434308E-01   0.3436680E-01   0.3433919E-01   0.3432593E-01   0.3431110E-01   0.3424336E-01   0.3372386E-01   0.3384484E-01   0.3371693E-01   0.3404143E-01   0.3452987E-01   0.3451446E-01   0.3462356E-01   0.3474286E-01   0.3480007E-01   0.3495456E-01   0.3414603E-01   0.3319883E-01   0.3459874E-01   0.3457347E-01   0.3429402E-01   0.3558411E-01   0.3392148E-01   0.1077704E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
