 # Concentrations in TOP SEDIMENT LAYER [Bq/kg].
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1945000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1946000E+04   0.3252540E-03   0.3099132E-03   0.1177355E-06   0.6146349E-10   0.1698511E-09   0.1150946E-06   0.2954307E-09   0.2403182E-09   0.2148531E-09   0.2072153E-09   0.1547487E-09   0.1272257E-09   0.1652473E-09   0.9499163E-07   0.1632141E-09   0.1737823E-09   0.1425026E-09   0.1752523E-09   0.1877146E-09   0.1530436E-09   0.1200111E-09   0.1164475E-09   0.1714348E-09   0.1745562E-09   0.1894287E-09   0.1894200E-09   0.1972443E-09   0.1889165E-09   0.2038873E-09   0.1927056E-09   0.1564973E-09   0.3954476E-10   0.7970557E-04   0.5765856E-03   0.3575894E-04   0.6809035E-04   0.1350147E-06   0.1405539E-09   0.1244186E-06   0.1500543E-09   0.1268237E-09   0.8992507E-10   0.1413701E-09   0.2272973E-02   0.5957116E-03   0.5147031E-04   0.3403132E-04   0.4998422E-03   0.8171696E-03   0.1100400E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1947000E+04   0.1181871E-02   0.1055433E-02   0.1382553E-05   0.1330789E-08   0.4416946E-08   0.1520191E-05   0.8041784E-08   0.7032991E-08   0.6430005E-08   0.6149222E-08   0.4526181E-08   0.3564598E-08   0.4838658E-08   0.1219517E-05   0.4787681E-08   0.5148037E-08   0.3897150E-08   0.5173579E-08   0.5447750E-08   0.4225355E-08   0.3039021E-08   0.3124947E-08   0.4972350E-08   0.5159754E-08   0.5483872E-08   0.5553858E-08   0.5757236E-08   0.5671136E-08   0.5939429E-08   0.5540237E-08   0.3902660E-08   0.7840520E-09   0.5044921E-03   0.1770209E-02   0.1898003E-03   0.4115802E-03   0.1727514E-05   0.3138922E-08   0.1637179E-05   0.3974001E-08   0.3182534E-08   0.2009016E-08   0.3685657E-08   0.6855059E-02   0.1812435E-02   0.2307170E-03   0.1562008E-03   0.1475955E-02   0.1626169E-02   0.3452610E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1948000E+04   0.2212718E-02   0.1829765E-02   0.5155150E-05   0.7504740E-08   0.2703155E-07   0.6156000E-05   0.5035623E-07   0.4546476E-07   0.4224296E-07   0.4045843E-07   0.2976669E-07   0.2315907E-07   0.3209102E-07   0.4936524E-05   0.3194036E-07   0.3452962E-07   0.2513850E-07   0.3457094E-07   0.3595244E-07   0.2719971E-07   0.1875086E-07   0.2002376E-07   0.3297070E-07   0.3450317E-07   0.3620571E-07   0.3670387E-07   0.3792201E-07   0.3787828E-07   0.3905485E-07   0.3618774E-07   0.2371159E-07   0.4266497E-08   0.1275554E-02   0.2763368E-02   0.4439943E-03   0.1020004E-02   0.6959684E-05   0.1797915E-07   0.6699684E-05   0.2491556E-07   0.1945230E-07   0.1155750E-07   0.2301323E-07   0.1053015E-01   0.2812393E-02   0.4849804E-03   0.3371789E-03   0.2254135E-02   0.1833387E-02   0.5472102E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1949000E+04   0.3537283E-02   0.2767634E-02   0.1194971E-04   0.2409704E-07   0.9114362E-07   0.1523470E-04   0.1721639E-06   0.1582595E-06   0.1487179E-06   0.1428670E-06   0.1052954E-06   0.8162521E-07   0.1146278E-06   0.1229986E-04   0.1147311E-06   0.1245348E-06   0.8869042E-07   0.1242977E-06   0.1281716E-06   0.9557613E-07   0.6419733E-07   0.7030623E-07   0.1180170E-06   0.1241020E-06   0.1291524E-06   0.1306647E-06   0.1345827E-06   0.1354909E-06   0.1382851E-06   0.1276707E-06   0.7999271E-07   0.1343646E-07   0.2251692E-02   0.3962738E-02   0.7626701E-03   0.1787852E-02   0.1725643E-04   0.5851490E-07   0.1679938E-04   0.8586630E-07   0.6606437E-07   0.3775802E-07   0.7938915E-07   0.1499492E-01   0.4030479E-02   0.7947875E-03   0.5618348E-03   0.3237742E-02   0.2780892E-02   0.7836967E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1950000E+04   0.5196680E-02   0.3877466E-02   0.2243712E-04   0.5778645E-07   0.2253589E-06   0.2999604E-04   0.4294180E-06   0.3987596E-06   0.3775378E-06   0.3637018E-06   0.2685804E-06   0.2081542E-06   0.2950418E-06   0.2439644E-04   0.2966823E-06   0.3230372E-06   0.2272955E-06   0.3216185E-06   0.3298488E-06   0.2440426E-06   0.1612173E-06   0.1794227E-06   0.3045357E-06   0.3211734E-06   0.3324918E-06   0.3354087E-06   0.3445319E-06   0.3484481E-06   0.3531352E-06   0.3255464E-06   0.1983012E-06   0.3186874E-07   0.3539487E-02   0.5274489E-02   0.1178894E-02   0.2799780E-02   0.3407653E-04   0.1419551E-06   0.3344878E-04   0.2160613E-06   0.1648381E-06   0.9186191E-07   0.2004864E-06   0.1976970E-01   0.5351353E-02   0.1194451E-02   0.8515516E-03   0.4272011E-02   0.3194951E-02   0.1042740E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1951000E+04   0.6808689E-02   0.4796716E-02   0.3700433E-04   0.1166757E-06   0.4650213E-06   0.5148359E-04   0.8916499E-06   0.8330866E-06   0.7927365E-06   0.7653215E-06   0.5660894E-06   0.4390420E-06   0.6266626E-06   0.4214043E-04   0.6325126E-06   0.6903932E-06   0.4824091E-06   0.6859340E-06   0.7010481E-06   0.5165474E-06   0.3372125E-06   0.3793229E-06   0.6483016E-06   0.6850544E-06   0.7067201E-06   0.7108507E-06   0.7285531E-06   0.7390950E-06   0.7450636E-06   0.6867394E-06   0.4102548E-06   0.6386953E-07   0.4960742E-02   0.6117922E-02   0.1624638E-02   0.3908284E-02   0.5861669E-04   0.2894675E-06   0.5795706E-04   0.4519644E-06   0.3429656E-06   0.1876941E-06   0.4213165E-06   0.2281226E-01   0.6201263E-02   0.1595824E-02   0.1149199E-02   0.4927780E-02   0.3699989E-02   0.1205594E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1952000E+04   0.1039317E-01   0.7506632E-02   0.5590096E-04   0.2091439E-06   0.8476104E-06   0.8033366E-04   0.1633373E-05   0.1532095E-05   0.1463228E-05   0.1415028E-05   0.1048139E-05   0.8137554E-06   0.1168065E-05   0.6615704E-04   0.1182759E-05   0.1293650E-05   0.9001526E-06   0.1282905E-05   0.1308071E-05   0.9618940E-06   0.6221476E-06   0.7051877E-06   0.1210861E-05   0.1281337E-05   0.1318526E-05   0.1322484E-05   0.1352855E-05   0.1375691E-05   0.1380792E-05   0.1273511E-05   0.7497099E-06   0.1138845E-06   0.6844730E-02   0.1039075E-01   0.2279497E-02   0.5412375E-02   0.9167791E-04   0.5234814E-06   0.9121179E-04   0.8330900E-06   0.6298299E-06   0.3398500E-06   0.7805525E-06   0.4017744E-01   0.1065507E-01   0.2296287E-02   0.1644798E-02   0.8628023E-02   0.1159619E-01   0.1997669E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1953000E+04   0.1789776E-01   0.1346058E-01   0.8517218E-04   0.3494463E-06   0.1430706E-05   0.1235834E-03   0.2766257E-05   0.2598650E-05   0.2487052E-05   0.2407976E-05   0.1785605E-05   0.1388077E-05   0.2000465E-05   0.1020859E-03   0.2030747E-05   0.2224627E-05   0.1545747E-05   0.2202697E-05   0.2243143E-05   0.1649622E-05   0.1060375E-05   0.1206972E-05   0.2077214E-05   0.2200042E-05   0.2260557E-05   0.2261501E-05   0.2310106E-05   0.2352875E-05   0.2354161E-05   0.2174179E-05   0.1268422E-05   0.1897948E-06   0.1098306E-01   0.1965004E-01   0.3726935E-02   0.8725625E-02   0.1412006E-03   0.8807690E-06   0.1408911E-03   0.1417378E-05   0.1069562E-05   0.5719338E-06   0.1334843E-05   0.7709557E-01   0.2022211E-01   0.3883117E-02   0.2745723E-02   0.1638253E-01   0.2500967E-01   0.3757400E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
