 # Concentrations in food-stuffs being consumed by people [Bq/kg]
#  Cs-137
      time(yr)         box1            box2            box3            box4            box5            box6            box7            box8            box9            box10           box11           box12           box13           box14           box15           box16           box17           box18           box19           box20           box21           box22           box23           box24           box25           box26           box27           box28           box29           box30           box31           box32           box33           box34           box35           box36           box37           box38           box39           box40           box41           box42           box43           box44           box45           box46           box47           box48           box49           box50           box51           box52           box53           
    0.1944000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1945000E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1946000E+04   0.2827186E-04   0.7894266E-04   0.1321153E-02   0.1774544E-02   0.1775323E-02   0.1774390E-02   0.1775077E-02   0.1777072E-02   0.1778607E-02   0.1778553E-02   0.1781624E-02   0.1790852E-02   0.1791089E-02   0.1787137E-02   0.1786907E-02   0.1781706E-02   0.1782066E-02   0.1779009E-02   0.1777747E-02   0.1778566E-02   0.1777413E-02   0.1777235E-02   0.1777668E-02   0.1783808E-02   0.1794342E-02   0.1801067E-02   0.1802240E-02   0.1791028E-02   0.1787241E-02   0.1783803E-02   0.1779933E-02   0.1773066E-02   0.1746091E-02   0.1749333E-02   0.1737417E-02   0.1759897E-02   0.1792452E-02   0.1796748E-02   0.1803335E-02   0.1821525E-02   0.1828577E-02   0.1841740E-02   0.1790435E-02   0.1657757E-02   0.1774308E-02   0.1790017E-02   0.1782487E-02   0.1853408E-02   0.1345576E-02   0.5897265E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1947000E+04   0.4761260E-04   0.1204887E-03   0.1656058E-02   0.2404175E-02   0.2406715E-02   0.2402972E-02   0.2405562E-02   0.2409898E-02   0.2413859E-02   0.2414014E-02   0.2420669E-02   0.2438785E-02   0.2441439E-02   0.2437508E-02   0.2437463E-02   0.2431811E-02   0.2431738E-02   0.2428110E-02   0.2426181E-02   0.2427193E-02   0.2425686E-02   0.2425628E-02   0.2426757E-02   0.2435396E-02   0.2449250E-02   0.2458433E-02   0.2458618E-02   0.2438767E-02   0.2430792E-02   0.2423717E-02   0.2413008E-02   0.2400889E-02   0.2362761E-02   0.2360231E-02   0.2341894E-02   0.2371703E-02   0.2426172E-02   0.2438272E-02   0.2454677E-02   0.2486696E-02   0.2497118E-02   0.2514282E-02   0.2444550E-02   0.2219412E-02   0.2373105E-02   0.2396101E-02   0.2405988E-02   0.2427941E-02   0.1180961E-02   0.7937540E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1948000E+04   0.4600885E-04   0.9817543E-04   0.1015952E-02   0.1608319E-02   0.1611346E-02   0.1606598E-02   0.1609885E-02   0.1614221E-02   0.1618541E-02   0.1618815E-02   0.1625412E-02   0.1642336E-02   0.1646396E-02   0.1645547E-02   0.1645914E-02   0.1644238E-02   0.1643453E-02   0.1642057E-02   0.1640753E-02   0.1641170E-02   0.1640436E-02   0.1640627E-02   0.1641799E-02   0.1647220E-02   0.1655090E-02   0.1660634E-02   0.1659239E-02   0.1642131E-02   0.1634399E-02   0.1627660E-02   0.1615620E-02   0.1605085E-02   0.1577933E-02   0.1569263E-02   0.1555403E-02   0.1574499E-02   0.1620603E-02   0.1634150E-02   0.1651558E-02   0.1678923E-02   0.1686485E-02   0.1696952E-02   0.1653266E-02   0.1460482E-02   0.1558296E-02   0.1576622E-02   0.1600854E-02   0.1554574E-02   0.3084604E-03   0.5045577E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1949000E+04   0.7573862E-04   0.1692815E-03   0.2223885E-02   0.3152766E-02   0.3156163E-02   0.3151034E-02   0.3154609E-02   0.3160260E-02   0.3165399E-02   0.3165568E-02   0.3174001E-02   0.3196880E-02   0.3200705E-02   0.3196685E-02   0.3196929E-02   0.3191357E-02   0.3190834E-02   0.3187286E-02   0.3185197E-02   0.3186161E-02   0.3184669E-02   0.3184709E-02   0.3185968E-02   0.3195766E-02   0.3211560E-02   0.3222033E-02   0.3221745E-02   0.3196879E-02   0.3186871E-02   0.3177999E-02   0.3164023E-02   0.3148405E-02   0.3097947E-02   0.3092682E-02   0.3069317E-02   0.3107679E-02   0.3180088E-02   0.3195547E-02   0.3216258E-02   0.3256220E-02   0.3269276E-02   0.3290554E-02   0.3207107E-02   0.2908223E-02   0.3106899E-02   0.3140034E-02   0.3152718E-02   0.3190392E-02   0.1721302E-02   0.9841484E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1950000E+04   0.7911652E-04   0.1577953E-03   0.1676103E-02   0.2581411E-02   0.2585999E-02   0.2578686E-02   0.2583611E-02   0.2590115E-02   0.2596420E-02   0.2596847E-02   0.2606357E-02   0.2630668E-02   0.2636542E-02   0.2635452E-02   0.2636045E-02   0.2633909E-02   0.2632745E-02   0.2630954E-02   0.2629260E-02   0.2629780E-02   0.2628847E-02   0.2629105E-02   0.2630543E-02   0.2638059E-02   0.2649248E-02   0.2657038E-02   0.2654997E-02   0.2630309E-02   0.2619207E-02   0.2609429E-02   0.2591809E-02   0.2576009E-02   0.2532742E-02   0.2519431E-02   0.2497928E-02   0.2528121E-02   0.2599804E-02   0.2619406E-02   0.2644286E-02   0.2683831E-02   0.2694990E-02   0.2710701E-02   0.2647084E-02   0.2348536E-02   0.2504972E-02   0.2535183E-02   0.2568993E-02   0.2515480E-02   0.7118082E-03   0.7628419E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1951000E+04   0.7591979E-04   0.1325617E-03   0.1218585E-02   0.1932297E-02   0.1934099E-02   0.1931626E-02   0.1933850E-02   0.1936874E-02   0.1940190E-02   0.1940205E-02   0.1945736E-02   0.1960593E-02   0.1964053E-02   0.1963136E-02   0.1963544E-02   0.1962089E-02   0.1961233E-02   0.1960096E-02   0.1958863E-02   0.1959199E-02   0.1958571E-02   0.1958806E-02   0.1960007E-02   0.1964918E-02   0.1971904E-02   0.1976937E-02   0.1975789E-02   0.1960662E-02   0.1954141E-02   0.1948722E-02   0.1939729E-02   0.1931670E-02   0.1899760E-02   0.1895760E-02   0.1886467E-02   0.1900501E-02   0.1944912E-02   0.1955230E-02   0.1969592E-02   0.1993363E-02   0.2000008E-02   0.2009337E-02   0.1970287E-02   0.1825465E-02   0.1892896E-02   0.1903743E-02   0.1919359E-02   0.1891172E-02   0.1028897E-02   0.4994270E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1952000E+04   0.2546082E-03   0.6222340E-03   0.9525112E-02   0.1310017E-01   0.1309430E-01   0.1310882E-01   0.1310267E-01   0.1310459E-01   0.1310558E-01   0.1310327E-01   0.1311459E-01   0.1315919E-01   0.1315120E-01   0.1311533E-01   0.1311191E-01   0.1306557E-01   0.1307056E-01   0.1304386E-01   0.1303311E-01   0.1304039E-01   0.1303027E-01   0.1302861E-01   0.1303317E-01   0.1307991E-01   0.1315880E-01   0.1320952E-01   0.1322404E-01   0.1316276E-01   0.1314711E-01   0.1313442E-01   0.1313682E-01   0.1311125E-01   0.1291824E-01   0.1299195E-01   0.1294545E-01   0.1306170E-01   0.1323181E-01   0.1323195E-01   0.1324979E-01   0.1334799E-01   0.1339097E-01   0.1347855E-01   0.1312232E-01   0.1268453E-01   0.1325391E-01   0.1328583E-01   0.1315222E-01   0.1378976E-01   0.1292265E-01   0.4134317E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1953000E+04   0.4295658E-03   0.1026670E-02   0.1411945E-01   0.2047998E-01   0.2047439E-01   0.2049161E-01   0.2048646E-01   0.2049364E-01   0.2050050E-01   0.2049720E-01   0.2052215E-01   0.2060856E-01   0.2060130E-01   0.2054592E-01   0.2054006E-01   0.2046552E-01   0.2047316E-01   0.2042860E-01   0.2040903E-01   0.2042153E-01   0.2040391E-01   0.2040164E-01   0.2041237E-01   0.2049127E-01   0.2061901E-01   0.2070274E-01   0.2072317E-01   0.2061413E-01   0.2058183E-01   0.2055537E-01   0.2054430E-01   0.2049707E-01   0.2019023E-01   0.2028904E-01   0.2021568E-01   0.2039016E-01   0.2068206E-01   0.2069991E-01   0.2074879E-01   0.2092212E-01   0.2099026E-01   0.2112267E-01   0.2055660E-01   0.1980869E-01   0.2064324E-01   0.2068778E-01   0.2053699E-01   0.2129622E-01   0.2034405E-01   0.6471841E-01   0.0000000E+00   0.0000000E+00   0.0000000E+00
