 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.022E+00                                       1.029E+04   1.475E+01
    2   1.199E+01                                       3.504E+03   5.546E+00
    3   6.067E+01   1.821E+00   1.163E+00               1.586E+02   1.084E-01
    4   2.459E+02   1.475E+01   3.188E+00   3.284E-01   1.003E+01   5.165E-03
    5   2.173E+02   1.351E+01   3.186E+00   3.270E-01   4.364E+01   2.241E-02
    6   2.773E+02   1.726E+01   3.192E+00               4.184E+02   3.033E-01
    7   2.709E+02   1.622E+01   3.189E+00   3.267E-01   8.401E+01   4.311E-02
    8   2.558E+02   1.508E+01   3.187E+00   3.259E-01   8.382E+01   4.295E-02
    9   2.440E+02   1.421E+01   3.186E+00   3.252E-01   8.356E+01   4.276E-02
   10   2.435E+02   1.403E+01   3.185E+00   3.247E-01   8.275E+01   4.231E-02
   11   2.412E+02   1.376E+01   3.184E+00   3.241E-01   6.201E+01   3.167E-02
   12   2.326E+02   1.341E+01   3.183E+00   3.233E-01   4.917E+01   2.508E-02
   13   2.071E+02   1.286E+01   3.182E+00   3.225E-01   7.277E+01   3.706E-02
   14   1.614E+02   1.201E+01   3.183E+00               3.395E+02   2.455E-01
   15   1.768E+02   1.230E+01   3.181E+00   3.217E-01   7.424E+01   3.775E-02
   16   1.503E+02   1.187E+01   3.180E+00   3.213E-01   8.214E+01   4.174E-02
   17   1.357E+02   1.163E+01   3.180E+00   3.217E-01   5.379E+01   2.736E-02
   18   1.388E+02   1.170E+01   3.179E+00   3.213E-01   8.212E+01   4.174E-02
   19   1.344E+02   1.165E+01   3.178E+00   3.216E-01   8.133E+01   4.137E-02
   20   1.318E+02   1.160E+01   3.178E+00   3.220E-01   5.564E+01   2.832E-02
   21   1.327E+02   1.162E+01   3.178E+00   3.226E-01   3.502E+01   1.785E-02
   22   1.393E+02   1.174E+01   3.178E+00   3.217E-01   4.285E+01   2.180E-02
   23   1.482E+02   1.189E+01   3.179E+00   3.213E-01   7.709E+01   3.918E-02
   24   1.610E+02   1.211E+01   3.179E+00   3.214E-01   8.215E+01   4.176E-02
   25   1.896E+02   1.263E+01   3.180E+00   3.217E-01   8.228E+01   4.184E-02
   26   2.216E+02   1.321E+01   3.181E+00   3.222E-01   8.247E+01   4.198E-02
   27   2.532E+02   1.389E+01   3.183E+00   3.227E-01   8.265E+01   4.211E-02
   28   2.847E+02   1.504E+01   3.185E+00   3.233E-01   8.280E+01   4.222E-02
   29   3.166E+02   1.658E+01   3.187E+00   3.240E-01   8.188E+01   4.181E-02
   30   3.253E+02   1.733E+01   3.189E+00   3.245E-01   7.171E+01   3.665E-02
   31   3.279E+02   1.948E+01   3.189E+00   3.259E-01   3.880E+01   1.988E-02
   32   3.049E+02   1.925E+01   3.190E+00   3.285E-01   5.288E+00   2.723E-03
   33   2.912E+02   1.951E+01                           5.314E+03   1.763E+01
   34   1.646E+02                                       2.315E+03   8.036E+00
   35   2.772E+02   3.176E+01                           1.662E+03   5.549E+00
   36   3.399E+02   2.536E+01                           4.149E+03   1.378E+01
   37   3.500E+02   2.341E+01   3.193E+00               4.835E+02   3.497E-01
   38   3.497E+02   2.112E+01   3.191E+00   3.268E-01   2.527E+01   1.297E-02
   39   3.104E+02   1.742E+01   3.187E+00               4.676E+02   3.380E-01
   40   2.603E+02   1.411E+01   3.182E+00   3.233E-01   4.764E+01   2.430E-02
   41   2.328E+02   1.354E+01   3.181E+00   3.233E-01   3.516E+01   1.793E-02
   42   1.965E+02   1.288E+01   3.180E+00   3.232E-01   1.810E+01   9.235E-03
   43   1.697E+02   1.232E+01   3.179E+00   3.221E-01   4.359E+01   2.219E-02
   44   1.603E+02                                       7.587E+03   1.886E+02
   45   1.742E+02                                       2.316E+03   8.003E+00
   46   2.501E+02   7.089E+01                           1.502E+03   5.107E+00
   47   2.838E+02   4.782E+01                           1.103E+03   3.702E+00
   48   2.256E+02                                       2.457E+03   7.802E+00
   49   3.081E+02                                       2.423E+03   1.668E+01
   50   6.688E+01                                       4.590E+03   1.921E+01
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.50000000000     
