 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.827E-01                                       1.057E+04   1.499E+01
    2   1.276E+01                                       4.362E+03   7.068E+00
    3   6.412E+01   3.572E+00   1.737E+00               2.507E+02   1.771E-01
    4   3.007E+02   1.453E+01   3.359E+00   1.766E-01   5.275E+00   2.658E-03
    5   2.760E+02   1.400E+01   3.358E+00   1.758E-01   2.294E+01   1.153E-02
    6   3.121E+02   1.494E+01   3.362E+00               4.292E+02   3.031E-01
    7   3.127E+02   1.509E+01   3.360E+00   1.755E-01   4.413E+01   2.215E-02
    8   2.992E+02   1.492E+01   3.358E+00   1.750E-01   4.401E+01   2.206E-02
    9   2.828E+02   1.439E+01   3.358E+00   1.747E-01   4.388E+01   2.196E-02
   10   2.695E+02   1.402E+01   3.357E+00   1.745E-01   4.347E+01   2.175E-02
   11   2.596E+02   1.380E+01   3.357E+00   1.743E-01   3.261E+01   1.631E-02
   12   2.447E+02   1.349E+01   3.356E+00   1.739E-01   2.588E+01   1.293E-02
   13   2.206E+02   1.304E+01   3.355E+00   1.733E-01   3.827E+01   1.908E-02
   14   1.967E+02   1.261E+01   3.358E+00               3.488E+02   2.462E-01
   15   1.975E+02   1.266E+01   3.355E+00   1.730E-01   3.909E+01   1.948E-02
   16   1.650E+02   1.212E+01   3.354E+00   1.728E-01   4.324E+01   2.153E-02
   17   1.632E+02   1.205E+01   3.354E+00   1.730E-01   2.832E+01   1.411E-02
   18   1.466E+02   1.186E+01   3.353E+00   1.728E-01   4.323E+01   2.153E-02
   19   1.367E+02   1.174E+01   3.353E+00   1.729E-01   4.280E+01   2.132E-02
   20   1.412E+02   1.178E+01   3.353E+00   1.733E-01   2.930E+01   1.461E-02
   21   1.347E+02   1.172E+01   3.353E+00   1.737E-01   1.845E+01   9.217E-03
   22   1.340E+02   1.173E+01   3.353E+00   1.731E-01   2.256E+01   1.124E-02
   23   1.366E+02   1.180E+01   3.353E+00   1.729E-01   4.060E+01   2.022E-02
   24   1.447E+02   1.200E+01   3.353E+00   1.729E-01   4.326E+01   2.154E-02
   25   1.622E+02   1.236E+01   3.354E+00   1.731E-01   4.333E+01   2.159E-02
   26   1.855E+02   1.285E+01   3.355E+00   1.734E-01   4.343E+01   2.166E-02
   27   2.105E+02   1.331E+01   3.356E+00   1.737E-01   4.354E+01   2.173E-02
   28   2.350E+02   1.384E+01   3.357E+00   1.738E-01   4.355E+01   2.175E-02
   29   2.573E+02   1.445E+01   3.357E+00   1.740E-01   4.302E+01   2.150E-02
   30   2.843E+02   1.508E+01   3.359E+00   1.743E-01   3.766E+01   1.883E-02
   31   3.038E+02   1.569E+01   3.359E+00   1.751E-01   2.038E+01   1.022E-02
   32   3.189E+02   1.563E+01   3.359E+00   1.770E-01   2.789E+00   1.407E-03
   33   3.205E+02   1.530E+01                           5.240E+03   1.690E+01
   34   3.167E+02                                       2.841E+03   1.051E+01
   35   3.108E+02   2.197E+01                           1.632E+03   5.302E+00
   36   3.130E+02   1.661E+01                           4.077E+03   1.316E+01
   37   3.027E+02   1.622E+01   3.360E+00               4.960E+02   3.498E-01
   38   2.845E+02   1.601E+01   3.359E+00   1.751E-01   1.322E+01   6.632E-03
   39   2.472E+02   1.464E+01   3.358E+00               4.800E+02   3.385E-01
   40   1.960E+02   1.324E+01   3.355E+00   1.738E-01   2.507E+01   1.252E-02
   41   1.787E+02   1.283E+01   3.354E+00   1.738E-01   1.849E+01   9.235E-03
   42   1.582E+02   1.234E+01   3.354E+00   1.737E-01   9.518E+00   4.753E-03
   43   1.446E+02   1.201E+01   3.353E+00   1.732E-01   2.293E+01   1.143E-02
   44   2.854E+02                                       9.209E+03   2.486E+02
   45   2.906E+02                                       2.802E+03   1.060E+01
   46   2.836E+02   2.978E+01                           1.433E+03   4.744E+00
   47   2.877E+02   2.843E+01                           1.078E+03   3.532E+00
   48   2.817E+02                                       2.207E+03   8.332E+00
   49   3.111E+02                                       2.508E+03   1.792E+01
   50   6.488E+01                                       4.659E+03   1.946E+01
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.50000000000     
