year	DegE	DegN	Cs137
1986.75	30.5	45.8	139
1986.75	29.98	45.33	135
1986.75	30.5	45.08	113
1986.75	31.07	46.33	75
1986.75	31.63	46.57	27
1986.75	31.98	46.63	16
1986.75	31.72	46.08	38
1986.75	30.78	46.33	131
1986.75	31.2	46.12	125
1986.75	32.45	45.37	84
1986.75	33.75	44.37	169
1986.75	34.17	44.48	195
1986.75	35.72	43.25	119
1986.75	36.83	44.25	83
1986.75	36.83	45	102
1986.75	36.53	45.15	157
1986.75	37.5	44.52	97
1986.75	38.25	42.95	117
1986.75	39.03	43.88	127
1986.75	40.83	43	142
1986.75	41.6	41.65	126
1986.75	39.45	41.53	131
1986.75	37.23	41.5	117
1986.75	35.62	42.12	93
1986.75	33.73	42.22	107
1986.75	33.75	43.12	106
1986.75	31.47	43.32	140
1986.75	30.45	42.43	144
1986.75	29.17	41.47	159
1986.75	28.55	42.07	184
1986.75	28.67	42.8	127
1986.75	28.77	43.32	157
1986.75	29.17	43.75	254
